# step lid M_Sigma Con_maxDiv C2
80600 1 42.3349 1.46088e-11 3.59772e+18
80800 1 48.429 1.46088e-11 3.63431e+18
81000 1 44.4792 1.46088e-11 3.67304e+18
81200 1 36.441 1.46088e-11 3.71121e+18
81400 1 27.9674 1.46088e-11 3.74886e+18
81600 1 13.158 1.46088e-11 3.77454e+18
81800 1 6.51731 1.46088e-11 3.77308e+18
82000 1 17.2298 1.46088e-11 3.75939e+18
82200 1 27.8751 1.46088e-11 3.74016e+18
82400 1 29.1958 7.30438e-12 3.71909e+18
82600 1 15.6235 1.46088e-11 3.69906e+18
82800 1 7.07941 1.46088e-11 3.67999e+18
83000 1 3.37267 1.09566e-11 3.66491e+18
83200 1 8.34928 7.30438e-12 3.65193e+18
83400 1 19.4986 1.09566e-11 3.64782e+18
83600 1 40.6952 1.46088e-11 3.66442e+18
83800 1 48.8836 1.46088e-11 3.69166e+18
84000 1 48.1166 1.46088e-11 3.72158e+18
84200 1 42.2862 1.46088e-11 3.7512e+18
84400 1 41.6415 1.46088e-11 3.78124e+18
84600 1 40.9457 1.46088e-11 3.8139e+18
84800 1 44.5002 1.46088e-11 3.84956e+18
85000 1 47.5814 1.46088e-11 3.88761e+18
85200 1 49.5282 1.46088e-11 3.93004e+18
85400 1 50.4879 1.46088e-11 3.97311e+18
85600 1 57.1457 1.46088e-11 4.01533e+18
85800 1 62.523 1.46088e-11 4.05898e+18
86000 1 57.4614 1.46088e-11 4.1047e+18
86200 1 52.9708 1.46088e-11 4.15344e+18
86400 1 50.7163 1.46088e-11 4.20343e+18
86600 1 47.9267 1.46088e-11 4.25232e+18
86800 1 41.8592 1.46088e-11 4.30076e+18
87000 1 35.2726 1.46088e-11 4.34832e+18
87200 1 29.3522 1.46088e-11 4.3915e+18
87400 1 22.457 1.46088e-11 4.42262e+18
87600 1 14.111 1.46088e-11 4.44261e+18
87800 1 3.13677 1.46088e-11 4.44139e+18
88000 1 21.5097 1.46088e-11 4.41695e+18
88200 1 28.7833 1.46088e-11 4.38593e+18
88400 1 22.0371 1.46088e-11 4.35617e+18
88600 1 8.64456 1.46088e-11 4.32964e+18
88800 1 5.11237 1.46088e-11 4.30871e+18
89000 1 18.6997 1.46088e-11 4.29954e+18
89200 1 30.3176 1.46088e-11 4.31263e+18
89400 1 34.6908 1.46088e-11 4.33899e+18
89600 1 32.6667 1.46088e-11 4.36801e+18
89800 1 32.0913 1.46088e-11 4.40065e+18
90000 1 32.0479 1.46088e-11 4.43347e+18
90200 1 32.181 1.46088e-11 4.46628e+18
90400 1 33.1982 1.46088e-11 4.50082e+18
90600 1 33.129 1.46088e-11 4.53514e+18
90800 1 35.6759 1.46088e-11 4.57343e+18
91000 1 38.2195 1.46088e-11 4.61571e+18
91200 1 30.3062 1.46088e-11 4.65544e+18
91400 1 23.8177 1.46088e-11 4.68714e+18
91600 1 21.5905 7.30438e-12 4.70905e+18
91800 1 23.6994 1.46088e-11 4.72794e+18
92000 1 28.6868 1.46088e-11 4.74427e+18
92200 1 35.9389 1.46088e-11 4.76466e+18
92400 1 37.8377 1.46088e-11 4.79463e+18
92600 1 38.4907 1.46088e-11 4.83079e+18
92800 1 40.8428 1.46088e-11 4.86967e+18
93000 1 43.8269 1.46088e-11 4.91358e+18
93200 1 39.1211 1.46088e-11 4.96048e+18
93400 1 25.6374 1.46088e-11 5.00152e+18
93600 1 11.1893 1.46088e-11 5.02898e+18
93800 1 2.06119 1.46088e-11 5.04045e+18
94000 1 0.510466 1.46088e-11 5.04205e+18
94200 1 2.10861 1.46088e-11 5.03759e+18
94400 1 1.04852 1.46088e-11 5.02823e+18
94600 1 6.96725 1.46088e-11 5.01551e+18
94800 1 5.65485 1.46088e-11 5.00159e+18
95000 1 3.98307 1.46088e-11 4.98738e+18
95200 1 8.28871 1.46088e-11 4.97114e+18
95400 1 12.1271 1.46088e-11 4.94794e+18
95600 1 11.2889 1.46088e-11 4.92294e+18
95800 1 0.132753 1.46088e-11 4.90329e+18
96000 1 14.8248 1.46088e-11 4.89425e+18
96200 1 31.0076 1.46088e-11 4.90713e+18
96400 1 38.3669 1.46088e-11 4.93128e+18
96600 1 40.8902 1.46088e-11 4.95909e+18
96800 1 40.7279 1.46088e-11 4.98798e+18
97000 1 34.0276 1.46088e-11 5.02036e+18
97200 1 36.2961 1.46088e-11 5.05309e+18
97400 1 48.124 1.46088e-11 5.09315e+18
97600 1 52.0275 1.46088e-11 5.13427e+18
97800 1 49.0422 1.46088e-11 5.17656e+18
98000 1 44.4039 1.46088e-11 5.2186e+18
98200 1 33.5667 1.46088e-11 5.25824e+18
98400 1 23.3414 1.46088e-11 5.2907e+18
98600 1 14.2439 1.46088e-11 5.3158e+18
98800 1 3.51259 1.46088e-11 5.32817e+18
99000 1 7.48344 1.46088e-11 5.32197e+18
99200 1 14.0917 1.46088e-11 5.30375e+18
99400 1 15.4529 1.46088e-11 5.27779e+18
99600 1 15.0053 1.46088e-11 5.2466e+18
99800 1 15.0475 1.46088e-11 5.21512e+18
